Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
base,1233W,1.52961419720739,1.53229544699619,1.4409812843447,1.63056031314417,0.0244791810833259,1.50513501612406,1.55409337829072,1.57106284954114,1.53229544699619,1.63056031314417,1.48754718992773,1.4409812843447,1.52840768794454
base,1232W,0.675679861923086,0.678686984368665,0.652876367377949,0.692516137451233,0.00480899829635707,0.670870863626729,0.680488860219443,0.683603511630649,0.678686984368665,0.692516137451233,0.670186898392345,0.652876367377949,0.675432138366915
base,1231W,0.71974738231071,0.720226996616119,0.692798859520226,0.752570052852927,0.00677756332684077,0.712969818983869,0.726524945637551,0.727348487970844,0.720226996616119,0.752570052852927,0.711957224175658,0.692798859520226,0.719155007077577
base,1226W,0.813917063340629,0.811351083318567,0.781578846359381,0.86836089897141,0.0101557114518994,0.80376135188873,0.824072774792528,0.823971119172162,0.811351083318567,0.86836089897141,0.801298871002714,0.781578846359381,0.810613478411131
base,1211W,0.307846084405558,0.307691684835224,0.297766612052457,0.316060418827535,0.00210030814721513,0.305745776258343,0.309946392552773,0.311113385267391,0.307691684835224,0.316060418827535,0.304624351429334,0.297766612052457,0.307628116038337
base,1210W,0.175656882689033,0.175730021913663,0.169159171656942,0.178837027054805,0.00103885944152084,0.174618023247512,0.176695742130553,0.177381309469084,0.175730021913663,0.178837027054805,0.17464626142879,0.169159171656942,0.175580307595519
base,1209W,0.411406782759305,0.412571993469999,0.40073985976072,0.422820234825228,0.00322607671510107,0.408180706044204,0.414632859474406,0.41675330199557,0.412571993469999,0.422820234825228,0.406768545462902,0.40073985976072,0.412093751790219
base,4868L,1.68170484874843,1.68544139617892,1.58178526375753,1.78557269655786,0.0222878959094579,1.65941695283897,1.70399274465788,1.71010891000631,1.68544139617892,1.78557269655786,1.67053461169927,1.58178526375753,1.67735877445636
base,4859L,1.89310037548956,1.88949452899622,1.7576512511429,2.06620597089611,0.0289182525689391,1.86418212292062,1.92201862805849,1.92440223468789,1.88949452899622,2.06620597089611,1.86785737870325,1.7576512511429,1.88631363713905
base,4496L,1.89228584629263,1.9008200805407,1.80589259204796,2.00848462492964,0.0249006143786555,1.86738523191397,1.91718646067128,1.92990702039568,1.9008200805407,2.00848462492964,1.86745702857771,1.80589259204796,1.8860164286154
